cluster_idx,n_doc,n_sent,n_word_summary,n_sent_summary,avg_word_per_sent_summary
1.0,3.0,95.0,161.0,6.0,26.833333333333332
2.0,3.0,54.0,119.0,5.0,23.8
3.0,3.0,75.0,155.0,7.0,22.142857142857142
4.0,2.0,30.0,169.0,4.0,42.25
5.0,2.0,23.0,161.0,4.0,40.25
6.0,2.0,29.0,134.0,5.0,26.8
7.0,3.0,22.0,83.0,4.0,20.75
8.0,3.0,44.0,157.0,4.0,39.25
9.0,2.0,17.0,177.0,4.0,44.25
10.0,3.0,48.0,157.0,5.0,31.4
11.0,4.0,62.0,173.0,5.0,34.6
12.0,4.0,35.0,142.0,4.0,35.5
13.0,3.0,50.0,192.0,5.0,38.4
14.0,3.0,20.0,157.0,4.0,39.25
15.0,3.0,53.0,179.0,5.0,35.8
16.0,3.0,78.0,160.0,5.0,32.0
17.0,3.0,21.0,120.0,4.0,30.0
18.0,2.0,8.0,86.0,3.0,28.666666666666668
19.0,3.0,38.0,103.0,4.0,25.75
20.0,3.0,13.0,76.0,3.0,25.333333333333332
21.0,3.0,22.0,153.0,5.0,30.6
22.0,3.0,30.0,218.0,5.0,43.6
23.0,5.0,59.0,146.0,5.0,29.2
24.0,4.0,79.0,117.0,5.0,23.4
25.0,3.0,31.0,182.0,6.0,30.333333333333332
26.0,3.0,48.0,116.0,4.0,29.0
27.0,3.0,51.0,170.0,5.0,34.0
28.0,2.0,35.0,185.0,5.0,37.0
29.0,3.0,25.0,114.0,4.0,28.5
30.0,4.0,37.0,181.0,6.0,30.166666666666668
31.0,2.0,63.0,168.0,5.0,33.6
32.0,3.0,19.0,226.0,4.0,56.5
33.0,2.0,28.0,203.0,5.0,40.6
34.0,2.0,13.0,121.0,5.0,24.2
35.0,3.0,11.0,106.0,5.0,21.2
36.0,2.0,47.0,142.0,4.0,35.5
37.0,2.0,19.0,130.0,4.0,32.5
38.0,3.0,29.0,147.0,5.0,29.4
39.0,3.0,53.0,180.0,4.0,45.0
40.0,2.0,29.0,121.0,4.0,30.25
41.0,3.0,33.0,146.0,4.0,36.5
42.0,3.0,18.0,103.0,5.0,20.6
43.0,2.0,23.0,198.0,4.0,49.5
44.0,3.0,41.0,107.0,4.0,26.75
45.0,3.0,19.0,73.0,2.0,36.5
46.0,3.0,23.0,182.0,5.0,36.4
47.0,3.0,21.0,180.0,5.0,36.0
48.0,3.0,21.0,193.0,5.0,38.6
49.0,3.0,23.0,151.0,7.0,21.571428571428573
50.0,4.0,21.0,152.0,5.0,30.4
51.0,2.0,9.0,94.0,3.0,31.333333333333332
52.0,5.0,32.0,199.0,6.0,33.166666666666664
53.0,3.0,54.0,175.0,6.0,29.166666666666668
54.0,3.0,32.0,144.0,6.0,24.0
55.0,3.0,85.0,106.0,4.0,26.5
56.0,5.0,61.0,184.0,5.0,36.8
57.0,3.0,34.0,161.0,3.0,53.666666666666664
58.0,2.0,15.0,102.0,4.0,25.5
59.0,3.0,43.0,148.0,3.0,49.333333333333336
60.0,4.0,55.0,200.0,5.0,40.0
61.0,2.0,25.0,239.0,5.0,47.8
62.0,3.0,41.0,170.0,7.0,24.285714285714285
63.0,3.0,51.0,165.0,5.0,33.0
64.0,2.0,15.0,150.0,4.0,37.5
65.0,2.0,35.0,151.0,5.0,30.2
66.0,4.0,33.0,122.0,4.0,30.5
67.0,3.0,32.0,282.0,6.0,47.0
68.0,4.0,26.0,177.0,4.0,44.25
69.0,4.0,51.0,200.0,4.0,50.0
70.0,5.0,130.0,168.0,6.0,28.0
71.0,3.0,22.0,96.0,5.0,19.2
72.0,5.0,52.0,163.0,4.0,40.75
73.0,4.0,57.0,227.0,9.0,25.22222222222222
74.0,4.0,28.0,152.0,4.0,38.0
75.0,2.0,38.0,247.0,6.0,41.166666666666664
76.0,3.0,25.0,125.0,4.0,31.25
77.0,2.0,15.0,193.0,5.0,38.6
78.0,4.0,35.0,197.0,5.0,39.4
79.0,3.0,92.0,148.0,5.0,29.6
80.0,2.0,47.0,176.0,6.0,29.333333333333332
81.0,3.0,26.0,222.0,5.0,44.4
82.0,2.0,88.0,163.0,5.0,32.6
83.0,3.0,48.0,148.0,4.0,37.0
84.0,4.0,20.0,147.0,5.0,29.4
85.0,3.0,48.0,198.0,5.0,39.6
86.0,2.0,18.0,89.0,2.0,44.5
87.0,3.0,23.0,99.0,3.0,33.0
88.0,3.0,44.0,200.0,6.0,33.333333333333336
89.0,4.0,37.0,141.0,5.0,28.2
90.0,3.0,37.0,136.0,5.0,27.2
91.0,4.0,29.0,131.0,5.0,26.2
92.0,2.0,27.0,174.0,4.0,43.5
93.0,2.0,32.0,207.0,5.0,41.4
94.0,3.0,16.0,98.0,4.0,24.5
95.0,5.0,69.0,215.0,6.0,35.833333333333336
96.0,3.0,45.0,194.0,6.0,32.333333333333336
97.0,4.0,52.0,234.0,5.0,46.8
98.0,3.0,34.0,201.0,5.0,40.2
99.0,2.0,14.0,196.0,6.0,32.666666666666664
100.0,5.0,90.0,243.0,4.0,60.75
101.0,4.0,76.0,233.0,4.0,58.25
102.0,4.0,78.0,193.0,3.0,64.33333333333333
103.0,3.0,28.0,161.0,4.0,40.25
104.0,3.0,32.0,143.0,3.0,47.666666666666664
105.0,4.0,39.0,159.0,5.0,31.8
106.0,5.0,46.0,148.0,5.0,29.6
107.0,4.0,34.0,150.0,5.0,30.0
108.0,3.0,60.0,158.0,5.0,31.6
109.0,3.0,24.0,116.0,3.0,38.666666666666664
110.0,3.0,38.0,159.0,5.0,31.8
111.0,3.0,15.0,137.0,6.0,22.833333333333332
112.0,4.0,57.0,215.0,4.0,53.75
113.0,3.0,18.0,164.0,5.0,32.8
114.0,4.0,22.0,119.0,4.0,29.75
115.0,3.0,27.0,150.0,5.0,30.0
116.0,3.0,74.0,127.0,4.0,31.75
117.0,3.0,17.0,61.0,2.0,30.5
118.0,4.0,25.0,111.0,5.0,22.2
119.0,3.0,37.0,199.0,4.0,49.75
120.0,2.0,64.0,226.0,5.0,45.2
121.0,3.0,48.0,170.0,6.0,28.333333333333332
122.0,3.0,34.0,253.0,5.0,50.6
123.0,3.0,31.0,158.0,6.0,26.333333333333332
124.0,2.0,11.0,136.0,6.0,22.666666666666668
125.0,2.0,14.0,75.0,1.0,75.0
126.0,4.0,36.0,191.0,5.0,38.2
127.0,4.0,43.0,196.0,5.0,39.2
128.0,3.0,38.0,170.0,5.0,34.0
129.0,4.0,52.0,157.0,5.0,31.4
130.0,3.0,19.0,176.0,6.0,29.333333333333332
131.0,4.0,51.0,104.0,5.0,20.8
132.0,2.0,5.0,59.0,2.0,29.5
133.0,3.0,25.0,208.0,4.0,52.0
134.0,2.0,19.0,134.0,4.0,33.5
135.0,3.0,32.0,164.0,5.0,32.8
136.0,2.0,30.0,274.0,6.0,45.666666666666664
137.0,2.0,19.0,157.0,6.0,26.166666666666668
138.0,3.0,68.0,178.0,6.0,29.666666666666668
139.0,2.0,12.0,95.0,4.0,23.75
140.0,4.0,26.0,179.0,4.0,44.75
141.0,4.0,42.0,168.0,6.0,28.0
142.0,2.0,19.0,205.0,6.0,34.166666666666664
143.0,3.0,18.0,177.0,4.0,44.25
144.0,2.0,19.0,139.0,5.0,27.8
145.0,2.0,30.0,183.0,6.0,30.5
146.0,4.0,27.0,176.0,7.0,25.142857142857142
147.0,3.0,49.0,177.0,6.0,29.5
148.0,3.0,43.0,225.0,6.0,37.5
149.0,4.0,29.0,172.0,6.0,28.666666666666668
150.0,3.0,26.0,167.0,6.0,27.833333333333332
151.0,5.0,41.0,197.0,6.0,32.833333333333336
152.0,3.0,14.0,182.0,5.0,36.4
153.0,5.0,55.0,190.0,6.0,31.666666666666668
154.0,4.0,21.0,123.0,6.0,20.5
155.0,5.0,36.0,197.0,6.0,32.833333333333336
156.0,3.0,31.0,155.0,5.0,31.0
157.0,3.0,50.0,155.0,6.0,25.833333333333332
158.0,4.0,63.0,188.0,6.0,31.333333333333332
159.0,2.0,47.0,175.0,5.0,35.0
160.0,3.0,38.0,194.0,5.0,38.8
161.0,4.0,46.0,185.0,6.0,30.833333333333332
162.0,3.0,47.0,183.0,6.0,30.5
163.0,4.0,74.0,170.0,6.0,28.333333333333332
164.0,3.0,33.0,146.0,6.0,24.333333333333332
165.0,4.0,54.0,180.0,6.0,30.0
166.0,3.0,40.0,182.0,5.0,36.4
167.0,3.0,40.0,222.0,6.0,37.0
168.0,2.0,37.0,183.0,6.0,30.5
169.0,3.0,33.0,129.0,6.0,21.5
170.0,4.0,56.0,236.0,6.0,39.333333333333336
171.0,2.0,14.0,116.0,6.0,19.333333333333332
172.0,4.0,23.0,57.0,2.0,28.5
173.0,3.0,24.0,148.0,6.0,24.666666666666668
174.0,3.0,33.0,246.0,6.0,41.0
175.0,5.0,99.0,343.0,6.0,57.166666666666664
176.0,3.0,98.0,177.0,6.0,29.5
177.0,2.0,15.0,175.0,6.0,29.166666666666668
178.0,3.0,39.0,108.0,5.0,21.6
179.0,3.0,33.0,165.0,6.0,27.5
180.0,5.0,61.0,165.0,6.0,27.5
181.0,3.0,86.0,127.0,6.0,21.166666666666668
182.0,3.0,47.0,255.0,6.0,42.5
183.0,2.0,20.0,167.0,6.0,27.833333333333332
184.0,3.0,29.0,181.0,6.0,30.166666666666668
185.0,2.0,22.0,171.0,6.0,28.5
186.0,4.0,56.0,188.0,5.0,37.6
187.0,3.0,88.0,227.0,6.0,37.833333333333336
188.0,3.0,21.0,151.0,5.0,30.2
189.0,3.0,42.0,183.0,6.0,30.5
190.0,3.0,44.0,206.0,6.0,34.333333333333336
191.0,4.0,99.0,90.0,5.0,18.0
192.0,2.0,48.0,103.0,4.0,25.75
193.0,2.0,12.0,121.0,5.0,24.2
194.0,3.0,29.0,124.0,4.0,31.0
195.0,5.0,29.0,141.0,4.0,35.25
196.0,2.0,8.0,95.0,3.0,31.666666666666668
197.0,2.0,57.0,176.0,5.0,35.2
198.0,3.0,42.0,151.0,4.0,37.75
199.0,2.0,31.0,160.0,6.0,26.666666666666668
200.0,4.0,68.0,158.0,6.0,26.333333333333332
